This file was created by CMPT_IND_RETS using the 202106 CRSP database.
It contains value- and equal-weighted returns for  5 industry portfolios.

The portfolios are constructed at the end of June.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Monthly
,Cnsmr,Manuf,HiTec,Hlth ,Other
201609,  -1.44,   1.05,   2.03,   0.35,  -1.25
201610,  -2.52,  -2.29,  -1.46,  -7.44,   0.59
201611,   1.53,   5.29,   1.65,   1.38,  11.27
201612,   1.33,   1.58,   1.62,   0.85,   2.94
201701,   1.37,   0.68,   4.43,   2.21,   1.02
201702,   2.99,   2.25,   3.95,   7.10,   3.72
201703,   0.78,  -0.20,   1.91,  -0.15,  -1.67
201704,   1.81,   0.33,   2.23,   1.09,   0.26
201705,   2.00,   0.34,   3.10,  -0.43,  -0.42
201706,  -1.18,   0.31,  -2.14,   5.56,   4.18
201707,  -0.10,   2.29,   4.07,   0.53,   1.44
201708,  -1.55,  -0.80,   1.98,   1.79,  -0.40
201709,   1.73,   4.67,   0.17,   1.50,   4.31
201710,   1.66,   2.22,   4.62,  -2.24,   2.03
201711,   5.90,   3.14,   1.47,   2.36,   3.73
201712,   2.02,   1.58,   0.56,  -0.23,   1.43
201801,   6.32,   2.56,   6.85,   6.38,   5.93
201802,  -5.31,  -5.93,  -1.21,  -3.90,  -3.32
201803,  -2.31,   0.12,  -3.18,  -2.00,  -2.67
201804,   1.07,   1.32,  -0.48,  -0.28,   0.44
201805,   0.59,   2.41,   5.76,   2.43,   1.21
201806,   3.30,   0.13,   0.52,   1.52,  -1.00
201807,   2.70,   3.34,   2.33,   6.08,   4.03
201808,   4.71,  -0.77,   6.72,   4.47,   2.44
201809,   0.32,   1.60,   0.00,   1.99,  -1.19
201810,  -5.97,  -8.79,  -7.68,  -8.84,  -6.62
201811,   2.06,   2.45,  -1.03,   6.30,   3.06
201812,  -9.87,  -9.10,  -8.24,  -8.41, -10.63
201901,   8.10,   9.04,   9.00,   5.01,   9.20
201902,   1.23,   4.23,   5.24,   3.05,   2.76
201903,   2.84,   0.72,   3.27,   0.62,  -1.24
201904,   4.12,   2.46,   6.07,  -3.05,   6.62
201905,  -6.34,  -8.31,  -7.82,  -3.46,  -6.21
201906,   6.89,   7.36,   7.49,   7.26,   6.75
201907,   1.16,  -0.40,   3.39,  -1.84,   1.61
201908,  -0.63,  -2.26,  -2.35,  -0.37,  -4.39
201909,   1.24,   3.91,   0.98,  -0.70,   2.03
201910,   0.90,  -0.73,   3.13,   4.43,   3.00
201911,   2.23,   1.68,   4.62,   5.37,   4.94
201912,   2.28,   3.03,   3.35,   3.37,   2.37
202001,   0.86,  -3.26,   2.57,  -1.78,  -1.29
202002,  -7.37, -10.20,  -6.74,  -5.64,  -9.80
202003,  -9.83, -19.23, -10.27,  -5.33, -18.90
202004,  15.70,  12.67,  14.53,  13.09,  10.42
202005,   4.30,   4.68,   7.94,   3.97,   4.05
202006,   3.81,   0.26,   5.08,  -1.76,   0.00
202007,   9.35,   3.37,   6.71,   4.44,   3.62
202008,  10.07,   3.08,  10.08,   2.77,   7.20
202009,  -4.00,  -2.26,  -4.89,  -1.51,  -2.92
202010,  -2.61,  -0.03,  -2.08,  -4.29,  -2.03
202011,  11.43,  12.93,  11.35,   9.63,  15.69
202012,   4.01,   2.61,   5.03,   4.70,   5.20
202101,   0.74,  -0.97,   0.11,   2.85,  -2.82
202102,  -1.91,   5.86,   2.04,  -1.10,   9.53
202103,   5.22,   7.23,   0.84,   0.22,   5.58
202104,   5.82,   2.49,   6.14,   3.21,   5.81
202105,  -1.66,   2.50,  -0.85,  -0.13,   2.92
202106,   2.39,   0.09,   6.24,   4.03,  -2.46


  Average Equal Weighted Returns -- Monthly
,Cnsmr,Manuf,HiTec,Hlth ,Other
192607,   1.68,   1.42,   2.01,   2.45,   0.21
192608,   2.73,   2.27,   2.27,   6.11,   4.53
192609,  -0.89,  -0.33,   0.72,   0.80,  -0.53
192610,  -4.25,  -2.92,  -4.70,   0.13,  -2.51
192611,   3.46,   2.09,   1.36,   7.20,   0.85
192612,   1.96,   3.60,   1.49,   0.42,   1.23
192701,  -1.85,   1.37,   0.38,   6.13,   5.16
192702,   4.43,   5.69,   8.03,   2.47,   7.81
192703,  -2.18,  -2.84,  -0.94,  -0.20,   0.04
192704,   1.13,   0.21,   1.78,   5.80,   1.44
192705,   5.24,   6.86,   2.86,   4.79,   8.42
192706,  -2.45,  -2.71,   0.80,   3.64,  -1.25
192707,   6.30,   5.92,   6.80,   8.59,   4.56
192708,   1.75,   0.62,  -1.00,   0.15,  -1.69
192709,   2.27,   2.99,   4.48,   6.00,   3.98
192710,  -2.65,  -4.60,  -3.52,   5.15,  -4.51
192711,   8.65,  12.26,  12.42,   5.05,   7.67
192712,   3.81,   3.37,   1.53,  -1.42,   1.98
192801,   2.72,   4.08,   1.01,   1.45,   3.13
192802,  -2.16,  -2.39,  -0.02,  -1.89,  -3.00
192803,   7.81,   6.24,  11.24,   8.96,   6.14
192804,   4.34,  13.32,   4.31,   3.36,   7.31
192805,   4.76,   1.50,  10.86,   7.21,   4.69
192806,  -7.78,  -6.84,  -5.04,  -1.46,  -5.59
192807,   0.95,   0.45,   0.13,  -0.81,  -1.02
192808,   6.78,   5.68,   4.94,   9.38,   4.38
192809,   4.10,   7.25,   2.75,  -0.06,   2.85
192810,   2.90,   1.12,   2.80,   0.25,   0.00
192811,   9.73,  13.94,  13.24,   3.51,  10.70
192812,  -0.14,  -0.32,   2.64,  -0.48,  -1.11
192901,   1.31,   3.87,   7.45,   4.61,   5.55
192902,  -1.11,   1.66,   4.32,  -0.07,   1.29
192903,  -6.06,  -0.76,   6.27,  -0.50,  -4.28
192904,   1.07,   1.44,   3.37,   2.42,   1.57
192905,  -9.52, -10.24,  -4.89,  -6.92,  -6.30
192906,   5.80,  10.69,  12.11,   4.73,   5.28
192907,   0.41,   2.38,   7.16,   3.11,   2.75
192908,   0.56,   3.93,   6.60,  -0.54,   3.60
192909,  -4.80,  -4.11,  -2.47,  -5.78,  -4.46
192910, -21.13, -21.43, -24.17, -17.09, -15.34
192911, -13.47, -11.92, -18.57,  -4.68, -11.01
192912,  -4.67,  -2.91,   3.87,   4.01,  -0.68
193001,  10.92,  11.22,   8.69,   2.39,  10.35
193002,   2.66,   3.05,   6.99,   5.50,   4.39
193003,   8.13,  14.10,  10.13,   7.68,   7.18
193004,  -4.40,  -5.18,  -0.72,  -3.32,  -5.50
193005,  -3.54,  -4.19,  -6.21,  -1.81,  -3.33
193006, -18.44, -18.67, -22.40, -14.01, -16.40
193007,   3.26,   4.14,   6.34,   8.97,   3.12
193008,  -1.36,  -2.73,   0.51,   1.14,  -1.71
193009, -13.65, -16.09, -19.51,  -5.74, -15.20
193010,  -8.61, -10.96, -13.83,  -5.24,  -9.32
193011,   0.29,  -3.60,  -0.89,  -2.67,  -4.38
193012, -12.94, -14.80, -11.51,  -9.73, -14.16
193101,  13.57,  12.31,  13.73,   7.99,  18.36
193102,  16.52,  16.39,  21.36,  16.19,  11.36
193103,  -1.75,  -8.60,  -9.94,   0.65,  -8.92
193104, -14.31, -16.95, -15.16, -11.43, -13.97
193105, -11.20, -16.17, -11.48, -15.91, -15.92
193106,  13.64,  20.54,  15.64,  12.23,  22.27
193107,  -3.56,  -8.50,  -8.72,  -3.30,  -9.05
193108,  -1.89,  -0.55,  -2.02,  -1.10,  -4.37
193109, -29.35, -32.18, -34.96, -31.75, -28.12
193110,  10.21,  11.73,  12.18,  13.21,   4.81
193111,  -6.57,  -8.70, -10.70,  -9.05, -13.74
193112, -16.21, -18.54, -18.36, -11.51, -21.63
193201,   6.73,   6.29,   5.68,   0.98,  15.14
193202,   2.28,   2.27,   3.77,  -1.71,   1.56
193203, -11.89, -10.51, -13.92,  -8.89, -15.37
193204, -16.06, -18.00, -23.00, -13.65, -18.72
193205, -19.37, -18.94, -19.47, -26.30, -24.64
193206,   5.36,   4.26,   4.47,   5.88,   1.34
193207,  32.95,  46.22,  43.87,  30.86,  56.12
193208,  65.00,  64.55,  51.53,  40.14,  77.27
193209,  -2.97,  -6.66,  -6.48,  -2.82,  -7.73
193210, -16.03, -16.07, -17.80, -17.01, -18.10
193211,  -7.22,  -4.66,  -7.70,  -3.77, -10.25
193212,  -4.16,  -3.28,  -2.08,  -0.92,  -4.19
193301,   2.49,   2.45,   4.98,  -1.45,   7.70
193302, -14.67, -16.00, -15.98, -11.27, -16.37
193303,  13.09,  11.93,   8.29,   5.31,   3.14
193304,  54.05,  53.88,  51.90,  23.01,  41.66
193305,  59.64,  60.12,  46.22,  34.64,  65.74
193306,  25.49,  20.64,  15.64,   9.00,  22.65
193307, -11.08, -11.71,  -5.70, -18.42,  -2.23
193308,  11.28,  12.63,  14.40,   3.55,   7.59
193309, -14.97, -14.06, -14.00,  -7.25, -17.91
193310, -10.20, -10.51, -12.37,  -4.94, -11.62
193311,   6.54,   8.03,   9.13,   6.49,   3.22
193312,   2.28,   1.06,   8.97, -10.96,   1.28
193401,  32.68,  29.88,  32.47,  28.57,  35.82
193402,   2.94,   0.82,  -4.72,  -3.92,   0.96
193403,   1.91,  -0.48,   2.62,  -1.90,   0.41
193404,  -0.26,   0.07,  -2.14,   1.24,   0.07
193405, -10.99, -11.90,  -8.48,  -9.77,  -9.28
193406,  -0.40,   1.46,   3.89,   1.40,  -2.56
193407, -16.50, -18.92, -16.12, -12.43, -22.06
193408,   8.32,  10.51,   8.62,   2.43,  10.46
193409,   0.57,  -2.29,  -0.79,  -1.42,  -1.35
193410,   0.45,  -2.96,  -0.72,   1.82,  -4.70
193411,  14.29,  15.66,  14.20,   4.84,   6.31
193412,   1.67,   2.27,   0.16,   0.10,  -0.45
193501,  -3.57,  -2.11,  -4.65,  -1.53,  -4.35
193502,  -4.32,  -5.36,  -1.58,  -1.05,  -9.30
193503,  -8.23,  -6.23,  -6.16,  -4.70,  -8.31
193504,   7.62,  11.15,  12.34,   3.30,  10.32
193505,   1.30,   3.24,   2.09,  -1.33,   2.85
193506,   3.98,   3.96,  10.94,   4.04,   3.43
193507,   9.98,  12.21,  14.09,  10.04,   9.88
193508,   7.44,   7.22,   3.39,   0.58,  13.92
193509,   4.27,   2.08,   4.38,   5.85,  -0.88
193510,   8.62,  10.16,  16.62,  10.08,   2.83
193511,  10.38,  11.65,   9.69,   1.43,  29.75
193512,   2.35,   9.55,   8.49,   8.48,   3.64
193601,  11.13,  14.83,   9.43,  13.98,  23.07
193602,   3.36,   5.00,   3.67,   1.26,   4.83
193603,   2.20,   1.11,  -0.31,   3.47,  -1.56
193604, -11.91, -12.76, -10.17, -14.09, -12.51
193605,   4.59,   5.05,   6.20,   6.25,   6.59
193606,   1.28,  -0.86,   0.58,   0.78,  -0.66
193607,   7.43,   8.74,   8.95,   5.92,   7.33
193608,   2.07,   2.49,   0.42,  -1.07,   2.19
193609,   3.90,   3.47,   4.88,   1.06,   2.18
193610,   6.48,   7.17,   4.87,   3.54,   6.38
193611,  10.35,   9.51,   6.44,   5.46,   8.18
193612,  -2.35,   7.14,  -0.99,  -2.45,   3.43
193701,   6.30,   9.75,   4.22,   8.96,   6.78
193702,   2.26,   1.61,   0.63,  -3.49,   6.62
193703,  -1.99,   1.74,  -4.46,  -3.36,   1.43
193704,  -9.88,  -9.92,  -9.05,  -5.41, -11.48
193705,  -3.10,  -1.11,   0.73,   0.28,  -4.37
193706,  -6.93,  -6.35,  -5.30,  -6.90, -12.25
193707,   9.40,  10.50,   8.78,   6.20,  10.32
193708,  -4.75,  -5.70,  -2.08,  -4.45,  -6.77
193709, -18.43, -20.65, -19.30, -12.57, -19.13
193710,  -9.66, -10.91, -11.65,  -4.84,  -9.36
193711, -12.75, -10.30, -10.97,  -9.71,  -9.45
193712, -11.45,  -8.58,  -6.04,  -6.68, -12.88
193801,   7.19,   2.05,   2.82,   4.12,   3.98
193802,   4.34,   8.10,   9.04,   5.23,   4.34
193803, -26.61, -29.30, -29.08, -16.34, -30.81
193804,  18.58,  21.08,  21.73,  13.63,  21.28
193805,  -6.71,  -7.99,  -5.92,  -2.38,  -6.13
193806,  29.09,  35.08,  32.24,  15.38,  27.47
193807,  14.63,  10.09,  12.53,   6.46,  13.00
193808,  -5.31,  -6.11,  -4.04,  -2.78,  -9.34
193809,  -1.74,  -0.78,  -1.10,  -1.88,  -2.82
193810,  13.20,  15.51,  12.62,   9.67,  14.40
193811,  -3.33,  -2.65,  -4.16,   1.51,  -7.44
193812,  -0.05,   5.09,   5.58,  -0.20,   4.74
193901,  -5.40,  -9.25,  -8.21,  -5.45,  -7.72
193902,   4.94,   3.69,   3.29,   4.90,   3.84
193903, -14.78, -19.64, -17.63,  -8.15, -17.16
193904,   1.03,  -0.05,   0.19,  -0.24,  -1.75
193905,   8.94,   8.76,  10.63,   6.14,   6.40
193906,  -6.29,  -9.15, -11.08,  -3.00, -10.20
193907,  12.14,  15.07,  17.15,   8.22,  12.55
193908, -10.32, -10.50, -11.67, -10.36, -11.10
193909,  30.14,  44.10,  19.98,  14.89,  55.43
193910,   1.72,  -1.77,  -0.31,   2.87,  -3.39
193911,  -5.66,  -9.71,  -4.36,  -3.33, -10.61
193912,   1.58,   2.77,   1.74,   0.38,  -0.62
194001,  -0.15,  -3.89,  -1.35,  -1.13,  -0.65
194002,   4.30,   2.69,   2.39,   1.53,   1.51
194003,   2.80,   2.08,   4.60,   4.87,   3.54
194004,   1.19,   2.07,  -0.14,   1.69,  -0.16
194005, -27.21, -26.81, -23.83, -22.32, -27.59
194006,   6.44,   7.50,   4.92,   3.69,   6.11
194007,   3.25,   4.04,   4.37,   1.51,   4.06
194008,   2.58,   2.13,   5.43,  -0.98,   1.14
194009,   3.68,   4.43,   2.85,   4.44,   2.96
194010,   3.07,   6.61,   6.54,  -0.18,   4.25
194011,   1.64,  -0.94,  -2.59,  -0.49,  -1.67
194012,  -2.22,  -0.46,   0.13,  -0.68,  -4.66
194101,  -0.42,  -4.67,  -0.37,   3.43,   8.53
194102,  -2.49,  -1.98,   0.38,  -3.32,  -1.60
194103,   1.48,  -0.02,   2.68,   0.30,   4.02
194104,  -6.37,  -5.70,  -6.40,  -5.87,  -4.67
194105,   0.53,   2.35,   0.01,   3.30,  -1.13
194106,   7.28,   7.12,   6.77,   4.43,   4.77
194107,  13.42,  11.31,   8.06,  12.65,  17.57
194108,   0.64,  -1.53,  -1.17,   0.45,  -1.04
194109,  -0.74,  -2.71,  -0.34,   2.58,  -3.85
194110,  -6.20,  -6.30,  -7.25,  -2.48,  -6.19
194111,  -3.58,  -3.40,  -2.92,   0.04,  -3.79
194112,  -9.11,  -6.84,  -6.64,  -3.98, -11.12
194201,  10.24,   8.33,   6.53,   2.96,  35.30
194202,  -0.94,  -1.07,  -2.08,  -5.39,  -2.65
194203,  -4.50,  -4.68,  -0.47,  -4.48,  -8.96
194204,  -4.87,  -5.42,  -4.48,  -3.16,  -2.25
194205,   4.12,   1.69,   6.88,   7.62,   1.91
194206,   2.63,   2.31,   3.13,   4.64,   2.16
194207,   4.79,   3.41,   4.95,   2.45,   7.16
194208,   2.12,   2.49,   1.88,   3.02,   5.44
194209,   3.06,   4.44,   5.44,   2.02,   9.03
194210,   8.00,  10.75,  11.86,   4.80,  11.95
194211,   0.53,  -2.80,   1.56,   1.69,  -3.98
194212,   2.56,   4.06,   8.19,   9.48,   1.85
194301,  15.65,  15.33,   9.15,   6.07,  26.50
194302,   9.79,  11.24,   7.37,   6.05,  27.07
194303,  12.17,  10.12,  10.14,  11.93,  11.93
194304,   5.08,   1.32,   3.55,   5.01,   5.93
194305,   8.30,   7.71,   8.84,   3.56,  10.54
194306,   3.69,   0.54,   2.98,   2.42,  -2.50
194307,  -4.97,  -7.26,  -7.70,  -2.75,  -7.46
194308,   1.20,   0.04,   0.47,  -1.00,  -0.49
194309,   4.10,   3.08,   4.84,   3.85,   3.14
194310,   0.18,  -0.26,  -0.30,  -0.06,  -1.54
194311,  -7.45,  -9.24,  -8.62,  -5.67, -11.45
194312,  10.26,   9.52,  11.07,   5.95,   9.64
194401,   4.30,   4.12,   5.09,   2.51,   6.15
194402,   1.79,   1.07,  -0.60,  -2.29,   2.82
194403,   4.87,   3.33,   4.04,   5.86,   4.56
194404,  -2.52,  -3.03,  -2.52,  -1.86,  -3.91
194405,   8.10,   6.15,   6.89,   5.44,   4.90
194406,  10.88,   9.61,   9.57,   5.61,  12.53
194407,  -0.73,  -1.33,  -1.86,  -2.61,  -1.76
194408,   4.46,   2.87,   1.78,   0.07,   1.70
194409,   0.24,   0.08,   0.25,   1.54,  -0.83
194410,   0.56,  -0.24,   0.14,  -0.60,  -0.07
194411,   2.57,   1.99,   1.00,   1.48,   3.24
194412,   4.43,   6.67,   5.79,   5.32,  13.11
194501,   4.69,   5.02,   2.99,   1.75,   3.18
194502,   7.24,   9.11,   5.89,   6.28,  10.48
194503,  -4.83,  -6.34,  -6.06,  -3.34,  -5.42
194504,   8.85,   8.78,   8.61,   9.73,   9.39
194505,   4.44,   1.62,   1.05,   3.96,   3.94
194506,   2.44,   3.28,   0.05,  -3.29,   8.60
194507,  -2.26,  -3.48,  -3.69,  -2.09,  -5.69
194508,   7.85,   7.04,   7.92,   9.96,   2.53
194509,   5.84,   6.69,   4.48,   6.96,   6.71
194510,   7.66,   5.73,   2.85,   7.62,   7.74
194511,  10.27,   8.46,   7.09,   9.49,  12.10
194512,   3.40,   2.02,   2.79,   2.81,   1.47
194601,   8.78,   9.46,   6.29,   9.56,  11.60
194602,  -6.35,  -6.28,  -7.79,  -4.32,  -7.37
194603,   6.88,   6.40,   2.67,  15.60,   2.81
194604,   6.84,   5.13,   2.08,  13.60,   3.41
194605,   5.50,   6.10,   5.73,   5.93,   3.95
194606,  -5.73,  -4.36,  -6.03,  -6.93,  -4.31
194607,  -3.21,  -4.22,  -5.24,  -3.90,  -5.45
194608,  -7.75,  -6.88,  -8.63,  -4.91,  -8.53
194609, -13.27, -12.90, -13.16,  -7.74, -16.08
194610,  -1.01,  -1.56,  -2.70,  -2.37,  -0.45
194611,  -1.76,   0.87,  -1.61,   1.18,  -0.55
194612,   4.17,   6.43,   7.01,   7.23,   0.75
194701,   3.09,   2.51,   5.16,  -2.73,   4.03
194702,  -0.15,  -0.59,  -2.79,  -4.21,  -0.32
194703,  -3.42,  -2.20,  -3.34,  -1.26,  -4.43
194704,  -9.29,  -7.12,  -7.83,  -8.46,  -9.10
194705,  -3.65,  -3.89,  -2.92,  -5.38,  -4.22
194706,   6.67,   5.58,   6.30,   3.07,   4.73
194707,   6.06,   6.21,   6.89,   3.97,   6.78
194708,  -1.67,  -0.91,  -2.48,  -4.93,  -3.47
194709,   0.34,   1.20,   1.79,  -3.97,  -0.55
194710,   3.84,   3.98,   3.06,   3.60,   0.88
194711,  -3.16,  -2.97,  -2.62,  -2.87,  -2.90
194712,   0.17,   3.19,   0.91,   0.87,   4.74
194801,  -2.43,  -2.34,  -2.40,  -5.61,   2.42
194802,  -6.51,  -5.75,  -5.95,  -4.78,  -5.66
194803,   7.16,  10.81,  11.95,   6.51,  10.87
194804,   3.24,   4.11,   2.57,   1.52,   4.85
194805,   9.29,   8.37,  11.55,   7.24,   8.43
194806,  -2.20,  -1.09,  -0.27,  -1.03,  -1.42
194807,  -4.64,  -5.57,  -6.63,  -4.64,  -5.46
194808,  -0.06,  -0.34,  -0.20,  -1.91,   0.04
194809,  -4.17,  -3.99,  -4.37,  -3.42,  -5.24
194810,   4.09,   5.95,   5.40,   5.13,   6.03
194811,  -9.74, -11.23, -10.33,  -7.32, -11.58
194812,  -0.74,   2.07,   5.58,   2.68,   1.54
194901,   3.23,   1.06,  -1.34,   4.85,   2.02
194902,  -4.14,  -3.72,  -6.85,  -2.45,  -4.21
194903,   5.81,   5.94,   5.11,   6.21,   6.47
194904,  -2.92,  -3.67,  -5.61,   0.26,  -1.75
194905,  -2.78,  -4.76,  -6.11,  -2.68,  -5.52
194906,   0.76,  -1.38,  -2.59,   1.04,  -1.66
194907,   6.07,   6.48,   7.14,   5.39,   5.72
194908,   2.41,   3.03,   1.54,   0.81,   1.96
194909,   4.10,   4.17,   6.51,   3.50,   4.54
194910,   3.62,   3.84,   4.66,   3.45,   4.72
194911,   1.16,   1.21,   0.63,   2.58,  -0.24
194912,   7.09,   6.12,  10.04,   8.13,   8.53
195001,   4.19,   3.04,   8.47,   2.16,   4.98
195002,   0.54,   2.14,   3.80,   3.93,   1.52
195003,  -0.37,  -0.29,   3.68,  -2.92,  -0.55
195004,   3.89,   5.12,  10.32,   5.63,   3.94
195005,   3.15,   4.55,  -0.46,   1.45,   1.78
195006,  -6.85,  -7.58,  -9.47,  -6.37,  -8.19
195007,   4.09,   5.39,  -0.89,  -3.18,   8.69
195008,   5.01,   5.45,   6.98,   4.05,   3.25
195009,   5.48,   5.07,   6.96,   5.85,   6.01
195010,  -0.92,   0.06,  -3.19,   0.55,  -0.25
195011,   0.58,   4.44,   1.27,   3.28,   5.52
195012,   6.91,   8.14,   4.79,   6.30,  13.95
195101,   7.56,   7.82,   8.93,   4.05,   6.91
195102,   1.47,   1.05,   3.14,   2.16,   0.49
195103,  -3.72,  -3.21,  -3.17,  -0.04,  -3.68
195104,   1.91,   5.83,   4.49,   8.90,   2.44
195105,  -2.01,  -2.32,  -3.21,  -0.23,  -3.88
195106,  -4.87,  -4.21,  -4.09,  -1.45,  -5.40
195107,   3.00,   8.17,   5.28,  10.80,   6.86
195108,   4.16,   5.18,   6.24,  -0.63,   4.56
195109,   1.36,   2.35,   2.56,   0.02,   4.09
195110,  -2.69,  -1.69,  -4.06,  -3.58,  -3.22
195111,   0.26,   0.43,   2.86,  -1.33,   2.04
195112,   0.47,   2.21,   2.58,   3.19,   1.00
195201,   0.40,   2.55,   0.92,   2.52,   2.10
195202,  -1.64,  -2.51,  -1.48,  -3.56,  -1.69
195203,   2.04,   2.96,   3.00,   0.21,   4.47
195204,  -3.45,  -5.45,  -3.04,  -4.83,  -3.91
195205,   2.26,   2.59,   1.02,   1.06,   2.63
195206,   2.26,   3.26,   3.80,   0.95,   4.14
195207,   0.64,   1.46,   1.86,  -2.22,   0.74
195208,   0.63,  -0.37,   0.57,  -0.01,  -0.07
195209,  -1.49,  -1.99,   1.76,  -2.25,  -1.20
195210,  -1.35,  -1.08,  -0.43,  -1.48,  -1.16
195211,   4.74,   5.81,   6.52,   5.39,   6.19
195212,   1.69,   2.27,   2.61,  -0.26,   3.60
195301,   3.00,   2.04,   2.31,  -2.37,   3.11
195302,   1.94,   0.94,   1.20,   2.07,   0.60
195303,  -1.07,  -0.88,  -2.24,  -0.02,  -1.47
195304,  -1.58,  -2.81,  -1.58,  -2.47,  -2.70
195305,   0.49,   0.50,  -0.11,   0.65,   1.46
195306,  -3.52,  -3.15,  -2.38,  -3.13,  -3.04
195307,   1.52,   1.91,   1.72,   2.58,   1.62
195308,  -4.26,  -5.04,  -6.00,  -1.86,  -7.07
195309,  -1.72,  -0.66,   2.23,  -0.38,  -2.45
195310,   2.30,   4.84,   3.80,   2.70,   3.26
195311,   0.86,   2.72,   1.37,   6.31,   2.75
195312,  -2.16,  -0.95,  -0.90,   0.05,  -2.26
195401,   6.66,   7.40,   6.81,   5.92,   7.46
195402,   0.46,   1.70,   2.09,   1.34,   1.73
195403,   1.21,   3.90,   3.68,   0.15,   2.86
195404,  -0.65,   2.67,   3.33,   2.18,   2.24
195405,   4.05,   4.25,   2.67,   2.33,   5.43
195406,   1.30,   1.01,   3.38,  -0.31,   1.35
195407,   7.60,   6.74,   7.92,   7.08,   7.67
195408,  -0.86,  -1.12,  -2.62,  -1.74,   0.22
195409,   3.83,   4.53,   5.88,   5.43,   4.28
195410,  -1.22,  -1.00,   0.02,   0.28,   0.88
195411,   6.48,   9.73,  11.81,  12.04,  10.55
195412,   7.41,   8.43,   8.89,   8.00,  12.77
195501,   1.73,   1.09,   2.10,  -2.24,   1.94
195502,   3.04,   4.83,   5.96,   3.80,   4.41
195503,  -0.62,   0.02,   0.60,   4.59,   0.92
195504,   2.64,   1.76,   3.00,   4.12,   3.23
195505,   0.29,   0.47,   0.99,   1.05,   2.09
195506,   2.52,   4.81,   2.48,   1.47,   2.19
195507,   2.17,   0.68,  -1.67,   1.02,  -0.94
195508,  -0.66,   1.51,  -0.81,  -0.25,   0.47
195509,  -0.01,  -0.77,  -2.87,  -1.15,  -1.59
195510,  -1.36,  -1.56,  -3.35,   0.94,  -2.44
195511,   2.75,   6.79,   6.05,   6.97,   6.44
195512,   1.58,   2.67,   3.27,   7.30,   1.27
195601,  -1.18,  -2.17,  -2.67,  -4.49,  -2.84
195602,   1.83,   4.08,   3.88,   4.05,   3.68
195603,   2.44,   6.65,   6.96,   7.09,   4.52
195604,  -0.48,   0.66,   0.46,   1.28,   1.23
195605,  -3.61,  -3.83,  -5.59,  -3.51,  -4.66
195606,   1.15,   2.93,   2.64,   2.26,   1.29
195607,   1.82,   5.62,   3.78,   4.34,   2.75
195608,  -0.73,  -1.97,  -1.86,  -3.27,  -3.01
195609,  -2.81,  -4.12,  -3.97,  -3.02,  -3.23
195610,   1.15,   0.85,  -0.50,   0.66,   0.06
195611,  -0.03,   1.48,  -0.55,  -0.92,  -0.62
195612,  -0.01,   3.30,   4.01,   6.22,   2.43
195701,   2.35,  -1.08,   0.50,  -1.17,   0.85
195702,  -1.65,  -2.37,  -2.54,   0.14,  -3.31
195703,   1.75,   2.06,   3.94,   6.87,   2.50
195704,   2.12,   2.42,   4.73,   4.60,   2.87
195705,   1.34,   2.44,   3.86,   4.50,   1.78
195706,  -0.04,  -1.66,   1.01,   4.11,  -0.44
195707,   0.60,   0.33,   0.10,   2.11,   1.17
195708,  -3.18,  -5.48,  -6.96,  -2.37,  -5.70
195709,  -3.21,  -6.21,  -5.86,  -1.54,  -6.60
195710,  -5.75,  -6.06,  -8.43,  -1.60,  -8.80
195711,   1.40,   2.77,   5.13,   7.41,  -0.63
195712,  -3.51,  -5.33,  -6.61,  -0.60,  -5.48
195801,  10.70,  10.11,  10.83,   2.36,  13.15
195802,   0.02,  -1.85,  -2.35,   4.28,  -1.07
195803,   3.58,   3.64,   4.93,  10.34,   2.08
195804,   3.93,   2.26,   2.08,   8.46,   4.01
195805,   3.66,   4.01,   5.54,   2.43,   3.61
195806,   3.02,   2.80,   4.08,   2.72,   4.61
195807,   3.92,   6.49,   3.96,   4.17,   5.55
195808,   5.04,   1.86,   4.84,   3.29,   2.31
195809,   5.85,   4.42,   5.18,  11.10,   6.03
195810,   2.85,   2.95,   6.22,   1.31,   3.85
195811,   4.54,   3.05,  10.33,   8.59,   4.44
195812,   3.57,   4.20,   5.07,   4.95,   2.81
195901,   5.26,   4.10,   2.66,  -0.09,   4.05
195902,   3.66,   1.85,   8.84,   4.86,   1.47
195903,   1.43,   0.96,   3.08,   4.51,   0.08
195904,   2.29,   2.00,   9.39,  11.06,   1.24
195905,   0.63,   0.99,   0.45,  -2.46,   0.92
195906,   0.71,   0.32,   1.12,   6.27,  -0.26
195907,   3.98,   3.34,   2.14,   3.79,   0.85
195908,  -0.20,  -1.61,  -3.97,   0.02,  -2.05
195909,  -2.98,  -5.23,  -5.88,  -6.10,  -4.07
195910,   1.97,   1.59,   7.00,   5.48,   1.22
195911,   0.91,   1.86,   5.07,   4.80,  -0.48
195912,   2.60,   1.96,   3.99,  -0.91,   1.98
196001,  -3.06,  -4.14,  -7.73,  -4.71,  -2.60
196002,   1.05,   0.29,   5.46,   1.20,  -0.01
196003,  -3.01,  -2.12,  -2.33,   0.15,  -2.70
196004,  -0.89,  -2.53,  -2.32,   1.17,  -2.42
196005,   1.55,   1.56,  11.17,  11.25,   0.06
196006,   3.31,   1.74,   1.41,   3.33,   1.93
